SubjectID,BlockNumber,IsControlBlock,TrialNumber,LeftImageNumber,RightImageNumber,LeftAvgRatingR1R2,LeftAvgRatingR1R2R3,RightAvgRatingR1R2,RightAvgRatingR1R2R3,Choice,RespTime
100,1,0,1,45,39,621.791044776119,628.955223880597,238.507462686567,273.134328358209,2,8.96501559903118
100,1,0,2,38,37,578.805970149254,519.10447761194,285.074626865671,218.20895522388,1,2.37761779525135
100,1,0,3,8,56,707.761194029851,688.656716417911,381.791044776119,261.194029850746,1,2.07348698653004
100,1,0,4,51,18,320.89552238806,316.119402985074,822.388059701492,755.522388059701,2,3.83234834273935
100,1,0,5,46,57,478.507462686567,519.10447761194,632.537313432836,686.268656716418,2,3.16410461919804
100,1,0,6,30,48,500,471.343283582089,328.059701492537,297.014925373134,2,6.61922316578057
100,1,0,7,17,34,292.238805970149,239.701492537313,331.641791044776,230.149253731343,1,4.76441148494814
100,1,0,8,3,24,711.34328358209,683.880597014926,374.626865671642,385.373134328358,1,3.36409397083844
100,1,0,9,8,34,707.761194029851,688.656716417911,331.641791044776,230.149253731343,1,2.10401115612876
100,1,0,10,48,37,328.059701492537,297.014925373134,285.074626865671,218.20895522388,2,2.73335279457388
100,1,0,11,39,56,238.507462686567,273.134328358209,381.791044776119,261.194029850746,2,6.68212065511034
100,1,0,12,3,38,711.34328358209,683.880597014926,578.805970149254,519.10447761194,1,2.43754529018406
100,1,0,13,46,24,478.507462686567,519.10447761194,374.626865671642,385.373134328358,1,3.79337356616816
100,1,0,14,45,30,621.791044776119,628.955223880597,500,471.343283582089,2,6.68068569237403
100,1,0,15,51,17,320.89552238806,316.119402985074,292.238805970149,239.701492537313,2,3.60705890210011
100,1,0,16,18,57,822.388059701492,755.522388059701,632.537313432836,686.268656716418,2,2.00931493090866
100,1,0,17,17,37,292.238805970149,239.701492537313,285.074626865671,218.20895522388,2,2.95828284057097
100,1,0,18,51,39,320.89552238806,316.119402985074,238.507462686567,273.134328358209,1,5.27313125824548
100,1,0,19,8,46,707.761194029851,688.656716417911,478.507462686567,519.10447761194,1,2.89742440118243
100,1,0,20,18,34,822.388059701492,755.522388059701,331.641791044776,230.149253731343,1,3.520287217234
100,1,0,21,48,56,328.059701492537,297.014925373134,381.791044776119,261.194029850746,1,2.05992610258363
100,1,0,22,45,24,621.791044776119,628.955223880597,374.626865671642,385.373134328358,2,2.10976552973443
100,1,0,23,3,57,711.34328358209,683.880597014926,632.537313432836,686.268656716418,1,1.80749004967402
100,1,0,24,30,38,500,471.343283582089,578.805970149254,519.10447761194,2,2.2002323288234
100,1,0,25,45,57,621.791044776119,628.955223880597,632.537313432836,686.268656716418,2,3.40164708033626
100,1,0,26,3,18,711.34328358209,683.880597014926,822.388059701492,755.522388059701,1,1.26701746134313
100,1,0,27,17,56,292.238805970149,239.701492537313,381.791044776119,261.194029850746,1,3.18554319002033
100,1,0,28,48,8,328.059701492537,297.014925373134,707.761194029851,688.656716417911,2,2.18274624626065
100,1,0,29,39,38,238.507462686567,273.134328358209,578.805970149254,519.10447761194,2,1.58782575330042
100,1,0,30,37,24,285.074626865671,218.20895522388,374.626865671642,385.373134328358,2,1.494322072047
100,1,0,31,51,30,320.89552238806,316.119402985074,500,471.343283582089,1,1.55227189318612
100,1,0,32,45,56,621.791044776119,628.955223880597,381.791044776119,261.194029850746,1,1.51715653523752
100,1,0,33,18,46,822.388059701492,755.522388059701,478.507462686567,519.10447761194,1,1.51541285149142
100,1,0,34,51,37,320.89552238806,316.119402985074,285.074626865671,218.20895522388,1,1.22863458409483
100,1,0,35,3,34,711.34328358209,683.880597014926,331.641791044776,230.149253731343,1,2.42348193247562
100,1,0,36,38,8,578.805970149254,519.10447761194,707.761194029851,688.656716417911,1,1.89602037676377
100,1,0,37,48,17,328.059701492537,297.014925373134,292.238805970149,239.701492537313,1,2.2056559363009
100,1,0,38,39,24,238.507462686567,273.134328358209,374.626865671642,385.373134328358,2,1.57899522564912
100,1,0,39,30,46,500,471.343283582089,478.507462686567,519.10447761194,1,2.1816526898001
100,1,0,40,34,57,331.641791044776,230.149253731343,632.537313432836,686.268656716418,2,2.43461171385388
100,2,0,41,25,13,603.880597014925,514.328358208955,131.044776119403,105.970149253731,1,3.81928482809053
100,2,0,42,55,26,38.6567164179103,41.9900497512436,657.611940298508,664.776119402985,2,2.95667436088479
100,2,0,43,53,44,492.835820895522,409.253731343284,73.7313432835818,53.4328358208952,1,1.63136774869963
100,2,0,44,52,28,299.402985074627,265.970149253731,317.313432835821,402.089552238806,1,1.61995782119084
100,2,0,45,42,36,761.492537313433,667.164179104478,496.417910447761,545.373134328358,2,5.37223658377843
100,2,0,46,22,27,0,6.66666666666657,485.671641791045,430.746268656716,2,2.6774180570701
100,2,0,47,15,50,106.716417910448,89.7512437810943,424.776119402985,514.328358208955,2,6.39021577967105
100,2,0,48,54,31,1000,1000,414.029850746269,382.985074626866,2,3.76693405578408
100,2,0,49,50,27,424.776119402985,514.328358208955,485.671641791045,430.746268656716,1,2.11534002764893
100,2,0,50,26,31,657.611940298508,664.776119402985,414.029850746269,382.985074626866,1,2.77616576448781
100,2,0,51,55,22,38.6567164179103,41.9900497512436,0,6.66666666666657,1,1.63674983594683
100,2,0,52,36,28,496.417910447761,545.373134328358,317.313432835821,402.089552238806,2,0.816184645371322
100,2,0,53,53,42,492.835820895522,409.253731343284,761.492537313433,667.164179104478,1,0.964999967209224
100,2,0,54,44,13,73.7313432835818,53.4328358208952,131.044776119403,105.970149253731,2,0.961576921621599
